      ThetaG      Theta2      Theta3      Theta4      Ex_Raw    Ex_Scale    Raw_CSEM  Scale_CSEM
    -0.15492    -1.03855    -0.41563     1.85403    20.73809    69.83832     2.42934     2.25918
     0.67402     0.30943     0.41220    -0.79335    23.56738    72.59569     2.11752     2.16984
     1.32630    -2.48582     1.68916     0.51452    24.52690    73.58231     1.94171     2.05697
    -2.04634    -1.76775    -1.10354    -0.26248     8.24224    60.48125     2.37001     1.96204
     0.97088     1.31053     0.14950    -0.55886    24.90371    73.99474     2.00036     2.16934
     0.31118     0.82576    -1.18141    -1.34958    20.63395    69.73091     2.34275     2.17782
    -0.05890    -1.31661    -0.70727     0.46029    19.57208    68.79706     2.49591     2.17731
     1.02622     1.20351    -0.95300    -0.52932    24.10135    73.15056     2.12760     2.22491
     0.45980     0.74156    -0.80824     0.07819    22.74852    71.77467     2.27570     2.27800
    -0.73946     1.56794     1.93146     3.37951    23.67405    72.70759     2.15460     2.21516
     0.02422    -0.81946     0.98193    -2.06188    20.15324    69.27594     2.22730     2.02806
    -0.18085    -0.08032     0.30873     0.48372    21.45119    70.50583     2.36148     2.26666
     0.27001    -1.09583    -0.62880     1.98532    22.10173    71.13518     2.31922     2.27552
     2.69832     0.49645     0.95564     0.07293    28.05324    77.68431     1.50061     1.85247
    -0.36124    -1.28946     2.05026     1.01400    21.14436    70.20595     2.29709     2.18626
     0.83631    -0.01096    -1.29617    -1.00646    22.03353    71.06569     2.29069     2.24712
    -0.62007     0.20929     1.54891    -2.13719    19.20194    68.44337     2.24851     1.92242
     1.43258    -1.12052     0.66736    -1.10774    24.40536    73.45924     1.99547     2.10726
     0.58330    -0.24290     0.02640    -1.81789    21.88901    70.91696     2.18949     2.14328
     0.54392     1.75943    -1.01974    -0.22328    23.07217    72.09775     2.22670     2.25066
     0.33689    -0.90846    -0.46566    -0.00332    21.49523    70.54794     2.35909     2.26823
     0.81526    -1.40280     0.49314    -0.86439    22.74000    71.75921     2.16569     2.16849
    -1.80658    -1.10638    -0.24523    -1.23703    10.76000    62.39749     2.50829     1.84549
    -1.19551     1.20341    -0.30211    -0.02560    16.90684    66.68947     2.58822     1.91725
    -2.25894     0.35305    -1.64558    -0.69140     8.61368    60.78358     2.34528     1.88733
     0.38185    -1.61904    -1.32371    -0.04443    19.84145    69.02695     2.45260     2.17691
    -0.23678     0.32149     3.14125     1.55995    23.75516    72.78851     2.11051     2.17579
    -0.91889     1.62233     1.72950     0.05680    20.87594    69.95443     2.31742     2.17878
    -0.45118     1.12277     1.57999     0.11723    22.09517    71.12360     2.25057     2.21260
     1.04952     1.16433    -0.59657     2.16545    25.94721    75.15819     1.91899     2.21637
     1.06188    -0.75478    -1.07927    -0.04836    23.26730    72.29517     2.21587     2.25151
    -0.14537    -1.07483    -1.92139    -0.42076    16.90710    66.68449     2.53212     1.87157
    -0.95793    -0.43561    -1.95012     1.11846    14.81012    65.21522     2.58173     1.79121
     0.70395    -0.47538    -1.64825     1.42909    22.37812    71.40453     2.26784     2.24598
     1.57119    -1.02030    -1.02437    -1.07150    23.88552    72.92417     2.11731     2.19379
    -0.14870    -0.42609    -0.07609    -2.01719    19.04701    68.32889     2.35926     1.99270
     0.25360    -0.73171    -0.20514     1.97840    22.84637    71.87150     2.25423     2.26092
    -0.46940     0.12342    -0.19389    -0.54198    19.08405    68.37859     2.48662     2.10391
     0.50029    -0.60116     0.06772     1.08251    23.51109    72.54196     2.18126     2.23180
    -0.94633    -0.34015     1.31044    -1.03742    17.83596    67.36541     2.41147     1.87516
    -0.48087    -1.38093     0.18587    -0.49748    18.10119    67.58204     2.49632     1.97919
    -1.38231     0.20147    -0.23175     1.30763    16.06386    66.08888     2.65269     1.90049
    -0.76560    -0.72875     0.48081     0.18392    18.34502    67.77772     2.51712     2.02858
     0.86205     1.60533     1.91417    -0.01670    25.85129    75.03896     1.86167     2.14175
     0.14899     0.59789    -0.98556     0.20262    21.38519    70.44418     2.38184     2.28028
    -0.20110    -0.58821    -0.73076     1.50897    20.29469    69.43577     2.47117     2.24637
     0.28925     1.10213     0.87614     0.73143    24.38460    73.44530     2.08336     2.20309
    -1.48825    -0.41462     0.38336     0.63743    15.36079    65.59565     2.62027     1.83768
    -1.07649     1.99911     0.37391     0.05348    19.28188    68.54251     2.46238     2.11039
     0.51605     0.13456    -0.19887    -0.38735    22.87174    71.89550     2.22966     2.23968
     0.74306    -0.10239     1.21482    -0.66911    23.93876    72.97547     2.06166     2.13816
    -0.26266     0.79923    -0.34158     1.82434    21.97684    71.01609     2.36343     2.30808
    -0.91520    -0.56931     1.68512     0.44855    19.08109    68.36808     2.43070     2.05878
     0.77217     0.06967     0.17850     0.04481    24.17055    73.22078     2.10126     2.20163
    -1.25715     1.90642    -0.19781    -0.02256    17.42535    67.07010     2.55200     1.94208
    -0.20291     0.72669    -1.41529     0.88811    19.91008    69.08686     2.44577     2.17948
     0.72468    -0.42415    -0.49954     0.80017    23.65002    72.68528     2.18521     2.24694
     1.47707     0.86172    -0.41741     0.43433    26.11075    75.34452     1.88411     2.19967
     0.34482    -0.08013    -0.91375     1.10822    22.32622    71.35690     2.32228     2.29472
     0.44507    -1.59861    -0.34129     1.42953    22.34843    71.37556     2.27423     2.24888
     0.25287     0.37584    -1.25416    -1.71434    19.74108    68.92632     2.36674     2.09391
    -2.11635    -0.40174     0.40626    -0.05423    11.73628    63.09620     2.54781     1.82319
     1.12110    -0.27611     0.36810     0.15277    24.99240    74.09079     1.99532     2.17418
    -0.03454     1.29454     0.60475    -0.04635    22.83074    71.85333     2.21501     2.22244
    -2.76097    -1.08281    -0.70297    -0.08446     6.64837    59.10323     2.20022     2.15170
     0.11080     1.20354     0.72853    -0.23376    23.15571    72.17895     2.17231     2.19945
    -1.35664    -0.78317     1.47693    -0.92436    15.79124    65.88660     2.43895     1.71720
    -0.80290    -0.76955     0.13182    -0.00873    17.54943    67.16495     2.56198     1.96477
     0.77275    -2.33676     0.15440     2.89575    23.70112    72.72844     2.05775     2.11184
    -1.07565     0.29988    -2.51594    -0.20537    13.36507    64.22864     2.51814     1.74565
     0.42585    -1.43081     0.05866    -0.86620    21.21482    70.27382     2.30356     2.19735
     0.66338    -1.89749    -2.70374     0.94028    19.51803    68.73130     2.36237     2.05869
    -1.10009     0.40814     0.11148     0.81767    17.92953    67.45997     2.58931     2.03354
     0.38033     0.64420     1.10809    -0.72789    23.38127    72.40484     2.11190     2.15143
    -1.73834     0.47386     1.99029     0.75723    17.02559    66.76756     2.48991     1.84979
    -0.40678     0.35943     1.08220     0.59708    21.69355    70.73631     2.32089     2.24951
    -1.18346    -0.25299    -0.41160    -0.81873    14.74488    65.17119     2.60664     1.80922
     0.47521    -0.13750    -1.77961     0.84767    21.32455    70.38228     2.33978     2.23739
    -0.03823     0.57545     0.01187     0.16245    21.96165    70.99810     2.32530     2.27254
     1.22576     0.37294    -2.04402    -0.92490    22.53794    71.56008     2.21621     2.20719
    -0.48727    -0.22755     0.43157    -0.78219    19.25406    68.51346     2.42577     2.07708
     0.60774    -1.36078    -0.53235     1.34770    22.84165    71.86595     2.24258     2.24897
    -0.57592     0.14253     0.20997     1.76628    20.85333    69.94639     2.43438     2.27506
     0.60054    -0.01409     0.59684    -1.04177    23.05604    72.07601     2.13853     2.15916
    -0.37022     1.57537     1.01941    -0.76756    21.66178    70.69826     2.23116     2.16648
     1.10220     0.37821    -1.19148     1.20208    24.64109    73.71987     2.08715     2.23545
     0.02534    -0.12792     1.41490     0.64329    22.95953    71.98210     2.20036     2.21558
     1.10033     0.49050    -0.43203     0.80667    25.28309    74.41294     2.00242     2.21994
     1.09216    -0.54403    -0.61055     1.20687    24.69529    73.77523     2.06223     2.21272
     2.12379    -1.95410     0.28850     0.83101    26.24544    75.48664     1.75746     2.08174
     0.69410     0.48189    -0.25730    -0.26774    23.66782    72.70216     2.16246     2.22499
     0.23052     1.23888     1.86206    -1.21305    23.27151    72.28944     2.04706     2.07679
     1.59493     0.16484     0.60116     0.99666    26.70652    76.04128     1.75761     2.13167
    -1.29404    -0.27960     0.91113    -0.31243    16.45781    66.36006     2.52541     1.82744
    -0.90348     0.86481     0.07513     0.87495    19.29607    68.56412     2.52795     2.16638
     2.37705    -1.92371    -0.69397    -0.60804    25.70918    74.87558     1.86439     2.12393
     0.24025     0.96788    -0.27540     1.35888    23.65506    72.69190     2.20317     2.26672
    -1.32822     0.03215     0.77260     0.16288    16.81651    66.62090     2.55758     1.88394
    -0.86292    -1.62384    -1.39375    -0.04514    13.89140    64.58762     2.61381     1.80950
     0.50360    -0.07849     0.50499     1.51722    24.42760    73.49051     2.08118     2.20431
     1.17504     1.53131    -0.23059     0.00657    25.63470    74.80167     1.94320     2.20168
    -2.44284     0.04755    -0.23422     0.57635     9.91082    61.77067     2.49935     1.89362
    -1.94257    -0.97482     2.70971    -0.23796    14.45989    64.97539     2.34104     1.60949
    -0.58281     1.07204     1.12670    -0.94921    20.49833    69.60017     2.29467     2.12167
     1.12859     0.63336    -0.64029    -1.58932    23.59103    72.61914     2.10521     2.15828
    -0.79582    -1.75045     0.82786    -0.93019    16.66733    66.50453     2.45275     1.78659
     0.50343     0.80004     0.70464    -0.60020    23.71866    72.75045     2.10302     2.16546
    -1.73372    -1.14024    -0.91932     0.42946    10.97083    62.54753     2.56367     1.87426
    -1.21671     0.81125     0.00308    -0.90739    16.33887    66.27657     2.55047     1.83710
     1.00343     0.78158     0.98084     1.78934    26.41593    75.69746     1.81413     2.16167
     0.65136    -1.25236    -0.21098    -1.22501    21.60809    70.64904     2.26911     2.19733
    -0.39983    -0.78340    -0.35329     1.24154    19.65182    68.86829     2.50831     2.19753
     0.26473    -2.15487    -0.12446    -0.54024    20.08686    69.23638     2.38333     2.14952
     0.22053    -0.21796     1.47855    -2.79745    21.08530    70.12997     2.07471     1.98680
     0.97111    -0.82915     1.52398     0.46925    24.88592    73.97197     1.97338     2.13577
     0.39320    -0.21314     1.32856     0.22805    23.64586    72.67677     2.12427     2.18244
     0.24247    -1.14374    -0.83002     1.31760    21.33628    70.39792     2.38498     2.27755
     0.23360    -0.35854    -1.24563    -0.39314    20.14606    69.29676     2.43808     2.20271
    -1.39589     1.20434     0.06336     0.03260    16.57633    66.45000     2.59362     1.89133
    -0.11090    -1.40037     0.56134     0.38529    20.66062    69.75939     2.37176     2.20361
     0.22596     1.13539     0.09502    -0.53405    22.75960    71.78189     2.21535     2.21862
    -0.94510    -0.65052    -1.35299     0.25501    14.78654    65.20007     2.62152     1.82141
    -0.44781    -3.15672    -1.10301    -0.71112    14.42043    64.94902     2.56432     1.77324
     1.60903    -0.21740    -2.27765    -2.31435    21.97300    70.99843     2.18029     2.14134
    -0.70450    -0.14131    -0.40707     0.95916    18.58904    67.98196     2.57268     2.10723
     1.01717     0.36815    -1.24514     0.04118    23.67690    72.71333     2.18531     2.25071
     0.79074    -1.69735    -1.91205    -1.75033    19.19750    68.46008     2.38859     2.04005
     0.34021     1.08686     0.79948    -0.43994    23.62214    72.65190     2.11640     2.17255
     1.49763     0.36740    -0.45170     0.90296    26.12353    75.35882     1.87840     2.19510
    -1.09303    -0.64884    -0.08677    -0.30239    15.68870    65.82308     2.61195     1.84601
    -0.36405     0.24296     0.28489     0.60593    21.09502    70.16955     2.39655     2.26635
    -0.90553     0.90123    -2.09383    -0.00157    15.35676    65.58896     2.51923     1.75898
    -0.65270     0.14715     3.19856     0.44059    21.50944    70.55269     2.26190     2.18497
    -0.41265     0.32666     0.88306     1.65225    22.21726    71.24799     2.30553     2.27087
    -0.68208    -1.14031    -0.85967    -0.96390    15.48111    65.67786     2.58934     1.81880
    -0.36291     0.03883     0.40094    -0.82732    19.92969    69.09622     2.38689     2.13314
    -2.37147     1.54125     0.32410    -0.73408    12.03565    63.30851     2.51706     1.78762
     1.14952     0.16284    -1.75433     1.18831    23.89047    72.93036     2.13112     2.20908
    -1.86216     1.12329     1.67500    -2.41101    15.28253    65.53268     2.36311     1.63692
     1.25014     0.93296    -1.86220     0.69903    24.18556    73.23612     2.09614     2.19751
     2.03122     0.41936     0.19243    -0.36782    26.74983    76.09249     1.74958     2.12684
    -1.18413    -2.08551    -0.87672    -1.04178    11.88075    63.19801     2.55492     1.82162
     0.97225    -0.72343    -0.02165     2.64770    25.26350    74.38471     1.95607     2.16419
