      ThetaG      Theta2      Theta3      Theta4      Ex_Raw    Ex_Scale    Raw_CSEM  Scale_CSEM
     0.50029    -0.60116     0.06772     1.08251    23.38719    72.41320     2.15192     2.19287
    -0.94633    -0.34015     1.31044    -1.03742    17.38298    66.96337     2.51232     2.00223
    -0.48087    -1.38093     0.18587    -0.49748    18.08505    67.52284     2.48381     2.03747
    -1.38231     0.20147    -0.23175     1.30763    16.38350    66.19499     2.62047     2.02627
    -0.76560    -0.72875     0.48081     0.18392    18.23592    67.65163     2.53822     2.09991
     0.86205     1.60533     1.91417    -0.01670    25.69164    74.85932     1.89024     2.15092
     0.14899     0.59789    -0.98556     0.20262    22.11272    71.14720     2.34660     2.30592
    -0.20110    -0.58821    -0.73076     1.50897    20.84104    69.92901     2.41743     2.26957
     0.28925     1.10213     0.87614     0.73143    24.33646    73.39812     2.12374     2.24330
    -1.48825    -0.41462     0.38336     0.63743    15.25551    65.34548     2.62543     1.97267
    -1.07649     1.99911     0.37391     0.05348    19.15349    68.42242     2.53410     2.19386
     0.51605     0.13456    -0.19887    -0.38735    22.85186    71.87396     2.20673     2.21668
     0.74306    -0.10239     1.21482    -0.66911    23.52150    72.54571     2.06783     2.11474
    -0.26266     0.79923    -0.34158     1.82434    22.33351    71.36641     2.36089     2.33418
    -0.91520    -0.56931     1.68512     0.44855    18.84023    68.15053     2.49569     2.12585
     0.77217     0.06967     0.17850     0.04481    23.95277    72.99277     2.09627     2.17753
    -1.25715     1.90642    -0.19781    -0.02256    17.60176    67.14290     2.58169     2.08012
    -0.20291     0.72669    -1.41529     0.88811    21.07120    70.14948     2.45274     2.32208
     0.72468    -0.42415    -0.49954     0.80017    23.69101    72.72376     2.13025     2.19237
     1.47707     0.86172    -0.41741     0.43433    25.99236    75.20496     1.87753     2.17796
     0.34482    -0.08013    -0.91375     1.10822    22.87493    71.90074     2.26322     2.27432
     0.44507    -1.59861    -0.34129     1.42953    22.42393    71.44423     2.17719     2.15965
     0.25287     0.37584    -1.25416    -1.71434    20.48853    69.59152     2.33334     2.16312
    -2.11635    -0.40174     0.40626    -0.05423    11.52163    62.64441     2.53520     1.86344
     1.12110    -0.27611     0.36810     0.15277    24.56668    73.63071     1.99206     2.12119
    -0.03454     1.29454     0.60475    -0.04635    22.82655    71.85202     2.26309     2.27065
    -2.76097    -1.08281    -0.70297    -0.08446     7.51497    59.41240     2.20252     2.05262
     0.11080     1.20354     0.72853    -0.23376    23.11114    72.13639     2.21614     2.24152
    -1.35664    -0.78317     1.47693    -0.92436    15.20688    65.30628     2.55631     1.91783
    -0.80290    -0.76955     0.13182    -0.00873    17.57112    67.11688     2.56559     2.06295
     0.77275    -2.33676     0.15440     2.89575    23.58571    72.60250     1.94518     1.97896
    -1.07565     0.29988    -2.51594    -0.20537    14.67492    64.91606     2.59905     1.92887
     0.42585    -1.43081     0.05866    -0.86620    21.01100    70.07148     2.23165     2.12187
     0.66338    -1.89749    -2.70374     0.94028    21.17121    70.22992     2.29168     2.18561
    -1.10009     0.40814     0.11148     0.81767    17.97076    67.44168     2.60256     2.13069
     0.38033     0.64420     1.10809    -0.72789    23.16672    72.18842     2.14507     2.17230
    -1.73834     0.47386     1.99029     0.75723    16.47905    66.26697     2.60205     2.01650
    -0.40678     0.35943     1.08220     0.59708    21.53849    70.58992     2.38080     2.29584
    -1.18346    -0.25299    -0.41160    -0.81873    14.99217    65.15016     2.61885     1.95621
     0.47521    -0.13750    -1.77961     0.84767    22.53123    71.55827     2.29417     2.28324
    -0.03823     0.57545     0.01187     0.16245    22.05632    71.09127     2.34021     2.29583
     1.22576     0.37294    -2.04402    -0.92490    23.55431    72.58265     2.12182     2.17428
    -0.48727    -0.22755     0.43157    -0.78219    19.08066    68.35218     2.46905     2.12893
     0.60774    -1.36078    -0.53235     1.34770    22.93974    71.95850     2.14162     2.15292
    -0.57592     0.14253     0.20997     1.76628    20.86620    69.95584     2.44921     2.29998
     0.60054    -0.01409     0.59684    -1.04177    22.73315    71.75086     2.13896     2.14233
    -0.37022     1.57537     1.01941    -0.76756    21.53300    70.57995     2.32293     2.24203
     1.10220     0.37821    -1.19148     1.20208    25.13663    74.25190     2.01302     2.21334
     0.02534    -0.12792     1.41490     0.64329    22.74928    71.77239     2.23167     2.23487
     1.10033     0.49050    -0.43203     0.80667    25.27943    74.40662     1.98289     2.19834
     1.09216    -0.54403    -0.61055     1.20687    24.63994    73.70965     2.00203     2.13938
     2.12379    -1.95410     0.28850     0.83101    25.35050    74.44801     1.70986     1.89313
     0.69410     0.48189    -0.25730    -0.26774    23.67006    72.70303     2.14097     2.20291
     0.23052     1.23888     1.86206    -1.21305    23.09417    72.11229     2.10094     2.12120
     1.59493     0.16484     0.60116     0.99666    26.25655    75.50496     1.80045     2.12909
    -1.29404    -0.27960     0.91113    -0.31243    16.06170    65.94896     2.60338     1.99403
    -0.90348     0.86481     0.07513     0.87495    19.37922    68.62034     2.55385     2.23607
     2.37705    -1.92371    -0.69397    -0.60804    24.66100    73.71095     1.78885     1.89856
     0.24025     0.96788    -0.27540     1.35888    23.93489    72.98212     2.19740     2.28544
    -1.32822     0.03215     0.77260     0.16288    16.49801    66.28248     2.61807     2.03058
    -0.86292    -1.62384    -1.39375    -0.04514    15.02947    65.17707     2.60488     1.94704
     0.50360    -0.07849     0.50499     1.51722    24.26591    73.32025     2.09014     2.19859
     1.17504     1.53131    -0.23059     0.00657    25.64535    74.81125     1.92451     2.18254
    -2.44284     0.04755    -0.23422     0.57635    10.51638    61.90853     2.42985     1.85234
    -1.94257    -0.97482     2.70971    -0.23796    13.80034    64.27781     2.52358     1.84202
    -0.58281     1.07204     1.12670    -0.94921    20.23431    69.36565     2.40383     2.19817
     1.12859     0.63336    -0.64029    -1.58932    23.52779    72.55036     2.04308     2.08738
    -0.79582    -1.75045     0.82786    -0.93019    16.42671    66.22069     2.49593     1.92682
     0.50343     0.80004     0.70464    -0.60020    23.55373    72.58215     2.12556     2.17729
    -1.73372    -1.14024    -0.91932     0.42946    11.90418    62.92084     2.54661     1.85564
    -1.21671     0.81125     0.00308    -0.90739    16.21854    66.06784     2.60035     1.99992
     1.00343     0.78158     0.98084     1.78934    26.25460    75.50997     1.85327     2.18432
     0.65136    -1.25236    -0.21098    -1.22501    21.37770    70.41846     2.18221     2.10614
    -0.39983    -0.78340    -0.35329     1.24154    19.95792    69.12221     2.46492     2.22212
     0.26473    -2.15487    -0.12446    -0.54024    20.10000    69.23015     2.28772     2.08353
     0.22053    -0.21796     1.47855    -2.79745    20.48764    69.56667     2.10583     1.96698
     0.97111    -0.82915     1.52398     0.46925    24.36590    73.41456     1.96244     2.06602
     0.39320    -0.21314     1.32856     0.22805    23.35257    72.37730     2.14016     2.17937
     0.24247    -1.14374    -0.83002     1.31760    21.81099    70.84739     2.28931     2.23043
     0.23360    -0.35854    -1.24563    -0.39314    20.93553    70.01364     2.37634     2.24285
    -1.39589     1.20434     0.06336     0.03260    16.55626    66.32737     2.61947     2.03560
    -0.11090    -1.40037     0.56134     0.38529    20.53749    69.63827     2.34521     2.17760
     0.22596     1.13539     0.09502    -0.53405    22.82868    71.85204     2.23030     2.23790
    -0.94510    -0.65052    -1.35299     0.25501    15.84816    65.78880     2.62458     2.00020
    -0.44781    -3.15672    -1.10301    -0.71112    15.45747    65.49080     2.51951     1.89904
     1.60903    -0.21740    -2.27765    -2.31435    22.69515    71.70792     2.04069     2.04285
    -0.70450    -0.14131    -0.40707     0.95916    18.97355    68.27044     2.55332     2.19078
     1.01717     0.36815    -1.24514     0.04118    24.17863    73.22978     2.10346     2.20598
     0.79074    -1.69735    -1.91205    -1.75033    20.13395    69.25550     2.24239     2.04955
     0.34021     1.08686     0.79948    -0.43994    23.52329    72.55246     2.14959     2.20036
     1.49763     0.36740    -0.45170     0.90296    25.95573    75.16165     1.87307     2.16834
    -1.09303    -0.64884    -0.08677    -0.30239    15.80611    65.75655     2.61461     1.98986
    -0.36405     0.24296     0.28489     0.60593    21.08360    70.15857     2.42486     2.29811
    -0.90553     0.90123    -2.09383    -0.00157    16.66598    66.41063     2.59813     2.02562
    -0.65270     0.14715     3.19856     0.44059    21.43940    70.48944     2.32460     2.23822
    -0.41265     0.32666     0.88306     1.65225    22.08713    71.12263     2.35399     2.31047
    -0.68208    -1.14031    -0.85967    -0.96390    16.10134    65.97731     2.57221     1.97117
    -0.36291     0.03883     0.40094    -0.82732    19.77936    68.95848     2.43226     2.17474
    -2.37147     1.54125     0.32410    -0.73408    11.56912    62.68255     2.47085     1.80618
     1.14952     0.16284    -1.75433     1.18831    24.82802    73.91766     2.04573     2.21152
    -1.86216     1.12329     1.67500    -2.41101    13.85654    64.31702     2.48523     1.81464
     1.25014     0.93296    -1.86220     0.69903    25.26950    74.39927     2.01176     2.22936
     2.03122     0.41936     0.19243    -0.36782    26.10248    75.32201     1.79372     2.10248
    -1.18413    -2.08551    -0.87672    -1.04178    12.57230    63.39881     2.56504     1.85777
     0.97225    -0.72343    -0.02165     2.64770    25.08372    74.18110     1.91817     2.09726
     0.13066    -2.23814     0.04712     0.64875    20.60250    69.69323     2.28903     2.13343
     0.50382     1.56051     0.44354     1.88294    25.66634    74.84336     1.98446     2.25110
    -1.53269    -0.93531    -1.72205     0.19963    12.19371    63.12859     2.56127     1.85921
    -0.05893     1.00033     0.33822     1.45522    23.44611    72.48049     2.25132     2.30209
     0.26719    -0.88353     0.42809    -0.88944    21.13242    70.18917     2.25578     2.15323
     0.41845    -0.51837    -2.38538     0.61445    21.43005    70.48419     2.36790     2.27636
