      Theta1      Theta2      Theta3      Ex_Raw    Ex_Scale    Raw_CSEM  Scale_CSEM
     0.44855     0.73238     0.09182    23.13034    72.15407     2.18640     2.21209
     0.17850     0.18075    -0.67822    21.20502    70.26503     2.30798     2.19991
     1.90642     1.64514     1.38727    26.46135    75.74978     1.80005     2.15189
    -0.20291     0.12251    -1.27857    19.93342    69.09284     2.33660     2.09136
     0.88811     1.11089     0.10618    24.02189    73.06280     2.07255     2.15683
    -0.49954    -0.11545     0.30088    20.64881    69.75808     2.45219     2.26962
     0.86172     0.60529     1.01838    24.35387    73.41448     2.10334     2.22181
     0.34482     0.27885    -0.30377    21.98019    71.01260     2.27793     2.23055
     1.10822     1.19254    -0.37956    23.77798    72.80728     2.03793     2.09956
    -0.34129     0.29347    -0.57189    20.66509    69.76300     2.36709     2.20010
     0.37584    -0.18818    -0.37992    21.16009    70.22658     2.35277     2.23524
    -2.11635    -2.08835    -1.08750    10.76922    62.40091     2.56730     1.88851
    -0.05423     0.42367    -0.59647    21.30103    70.35633     2.30350     2.20394
     0.36810     0.39819     0.18328    22.70647    71.73075     2.24911     2.24846
     1.29454     1.42883     0.66840    25.23328    74.35138     1.95359     2.15886
    -2.76097    -2.96008    -1.99911     6.98262    59.41177     2.23711     2.09587
    -0.08446    -0.02985     0.65689    21.88003    70.92144     2.36315     2.30078
     0.72853     0.56197    -0.26006    22.86731    71.88810     2.18162     2.19153
    -0.78317    -0.08720    -1.63484    18.17694    67.63144     2.42310     1.92695
    -0.80290    -1.05256    -0.21431    17.43803    67.08755     2.62086     2.00073
    -0.00873     0.31800    -1.73593    20.15823    69.28223     2.23724     2.03483
     0.15440     1.36131    -1.56181    21.66839    70.69350     2.06765     2.01824
     0.29988    -0.78922     0.94631    21.15041    70.22334     2.40993     2.28330
     0.42585    -0.21734     0.82666    22.41995    71.44941     2.31518     2.29383
    -0.86620    -0.50560    -2.02283    16.89956    66.67233     2.46808     1.81661
    -2.70374    -2.05493    -2.90365     8.44291    60.64671     2.34839     1.91236
     0.40814     0.41708     0.75942    23.36279    72.39231     2.21192     2.25362
     0.38033     0.61655     0.73873    23.56583    72.59849     2.18382     2.23909
    -0.72789    -1.39315     0.38562    17.35451    67.02411     2.61613     1.98726
     1.99029     2.12398     0.87675    26.35800    75.62364     1.78373     2.12363
     0.35943     0.78233     0.25331    23.24580    72.27129     2.18576     2.21878
    -1.18346    -1.17975    -0.99860    15.42922    65.64385     2.63868     1.85494
    -0.81873    -0.54192    -0.82221    17.95485    67.47488     2.55128     2.00566
    -1.77961    -1.25607    -1.56015    13.28300    64.17094     2.60541     1.81128
     0.57545     0.52677     0.50018    23.45742    72.48748     2.18692     2.23470
     1.22576     1.26869    -0.55161    23.76072    72.78765     2.00974     2.06768
    -0.92490    -1.04413    -0.62188    16.75367    66.58136     2.62604     1.93402
     0.43157     0.06141     0.95162    23.03307    72.06013     2.25736     2.27725
    -1.36078    -1.45835     0.07572    15.42168    65.64005     2.67342     1.88180
    -0.57592    -0.46207    -0.32027    19.15833    68.44678     2.52494     2.14578
     1.76628     1.85478     1.02000    26.19583    75.43627     1.82244     2.14481
     0.59684     0.10178     0.54374    22.91110    71.93682     2.25514     2.26747
     1.57537     1.85834     0.27034    25.33661    74.45877     1.89361     2.10553
     1.10220     1.15889    -0.10568    24.04113    73.08076     2.04456     2.12790
     1.20208     1.10062     0.75189    24.96075    74.05739     2.00476     2.18116
     1.41490     1.55421     1.45776    26.09857    75.32627     1.85489     2.16701
     0.49050     0.26253     0.99705    23.46025    72.49199     2.21095     2.25961
     1.09216     0.76081     0.56842    24.33934    73.39730     2.08254     2.19777
     1.20687     1.99001    -1.11060    23.65271    72.66996     1.88889     1.92953
     0.28850     0.61207     0.35087    23.05628    72.08106     2.21860     2.23988
     0.48189     0.32841     0.25778    22.82842    71.85281     2.24341     2.25052
     0.23052     0.73153     0.90183    23.65538    72.69003     2.17518     2.23654
    -1.21305    -0.42720    -1.29365    16.84753    66.64188     2.54058     1.87287
     0.60116     0.96543    -0.73307    22.67037    71.68710     2.12124     2.12043
    -0.27960     0.13076    -0.70465    20.38404    69.50556     2.38032     2.18104
    -0.90348    -0.45445    -0.88225    17.89573    67.42817     2.54482     1.99284
     0.87495     1.79587    -1.41081    22.95765    71.96690     1.92443     1.93452
    -0.69397    -0.88568    -0.12574    18.17417    67.65241     2.59349     2.06911
     0.96788     0.76143     1.62305    25.11568    74.22817     2.01172     2.20803
    -1.32822    -1.19075    -0.45597    15.62357    65.78041     2.66601     1.88557
     0.16288    -0.21626    -0.60672    20.57757    69.68340     2.37996     2.20196
    -1.39375    -1.28276    -0.64376    15.02529    65.36550     2.66678     1.86229
    -0.07849     0.14182     0.72204    22.23584    71.26812     2.32939     2.29453
     1.17504     1.71126     0.15074    24.79752    73.87489     1.95819     2.10880
     0.00657    -1.02434     0.87449    20.09840    69.25938     2.47762     2.22872
    -0.23422     0.03072    -1.57912    19.47118    68.68634     2.33302     2.02849
    -0.97482     0.25898    -1.76278    18.22492    67.66306     2.37667     1.89511
    -0.58281    -0.07630    -0.07038    20.16194    69.31492     2.46557     2.22629
    -0.94921    -0.38466    -0.65519    18.17481    67.64692     2.54855     2.03207
    -0.64029    -1.25087    -0.39987    17.06405    66.80755     2.61243     1.95326
